1000 10000
750 549 2272
518 88 9912
161 879 1900
555 199 2932
5 37 5951
109 500 49
156 863 2906
336 5 5325
786 430 6797
765 635 115
562 383 1014
187 899 2100
99 410 8329
351 315 5879
636 318 7914
587 777 2765
988 932 6626
894 618 6629
571 754 7409
368 517 7395
835 430 7776
849 615 5026
302 64 3786
631 765 5100
510 399 9416
777 984 4544
542 322 8826
520 567 1794
501 136 1546
910 855 3062
305 688 3842
434 536 9807
812 836 869
598 817 7984
698 326 1382
467 453 9716
363 345 3037
189 863 602
983 362 4088
881 622 3941
295 926 6628
137 710 3162
944 872 1996
165 468 7811
502 517 6487
236 334 2290
952 695 1633
341 882 7494
295 215 2854
384 446 1475
325 740 751
953 875 4811
467 170 8681
815 685 2499
979 537 5014
466 771 8346
109 74 3391
742 413 2623
589 59 7836
795 441 3281
622 116 8371
373 420 596
536 885 9764
569 699 5800
69 676 335
435 492 7457
134 951 529
525 692 5292
149 631 2349
337 424 2140
970 45 2255
341 768 2025
938 655 8260
54 222 2957
206 289 2983
542 723 4826
999 207 7127
880 730 5169
172 229 2798
522 565 9221
662 885 8616
269 225 5382
294 513 7035
555 565 8608
864 770 9895
200 662 4968
378 11 2173
505 889 1254
675 59 8481
825 931 4396
46 944 2280
14 211 6855
749 856 2366
136 761 1281
744 975 9401
640 173 3413
960 901 4422
486 757 5661
92 782 6071
925 605 8000
322 2 9942
954 14 504
809 761 5358
527 896 9117
160 638 1090
562 628 614
975 939 8865
750 423 6620
411 865 5400
834 788 8004
835 460 6356
129 412 6368
633 571 6128
343 448 5374
460 607 10
903 167 8989
869 492 926
734 240 699
707 2 9562
459 834 2348
463 19 9807
171 499 569
540 130 5139
20 472 8585
394 282 8542
756 535 1707
745 402 550
23 487 6788
722 192 5140
636 649 5325
985 463 1694
144 632 4191
65 522 3320
556 540 7142
494 932 8422
36 687 7308
96 782 1708
646 804 9545
786 524 1087
927 159 1735
604 494 8548
298 988 1530
842 51 7051
514 958 7589
656 450 4872
430 484 2557
90 578 2337
799 222 5139
696 7 8014
784 284 523
871 238 5015
419 886 353
301 726 754
352 238 7710
294 244 6158
166 25 4641
723 113 7569
412 262 2790
904 957 6147
918 91 2781
441 960 8017
808 377 9901
513 676 8978
267 379 8566
978 671 2161
136 835 4536
129 908 2999
699 318 9260
841 572 5567
988 488 3008
769 279 6966
138 437 8693
39 948 9719
369 214 7096
936 542 1117
97 676 3950
633 804 7208
632 853 525
244 692 4447
163 678 7934
171 797 563
137 933 7351
182 322 2297
902 690 8861
998 976 8401
116 71 3428
418 54 8582
627 684 1433
504 279 1123
951 792 151
237 962 4946
801 449 6229
504 630 7549
801 530 589
15 878 7563
768 992 6984
196 761 7036
778 386 7071
211 240 2700
686 541 9490
837 777 450
783 928 5250
364 430 9878
266 581 6758
855 946 6634
771 713 6977
107 259 1736
144 36 4472
567 597 5710
267 634 6249
109 469 376
560 603 2302
162 965 2082
40 229 2014
798 435 958
432 556 3669
409 661 9927
497 803 8313
969 720 260
31 337 6892
633 445 4712
9 355 2313
664 515 8628
98 553 4856
112 701 641
71 483 7195
92 891 7854
371 738 6008
684 706 8726
297 735 1414
189 366 857
253 726 210
566 740 4723
195 836 626
403 947 8325
396 368 806
591 458 5047
797 828 2784
805 862 4840
884 157 573
650 697 5290
507 948 9366
69 865 5104
792 410 7290
770 163 5235
95 557 2601
253 146 9410
653 293 5588
437 449 9448
277 683 3956
202 331 9651
844 836 3949
562 903 9164
666 45 7572
957 813 6733
544 258 3640
498 861 9136
260 512 7428
848 299 875
296 926 4556
252 127 9885
255 321 4071
557 882 7324
721 898 4367
646 205 8530
731 748 1786
372 596 7645
860 854 7508
288 700 7805
515 346 9730
423 949 207
660 202 878
731 109 4758
55 181 6007
774 177 9210
304 906 2308
442 628 7902
88 487 8106
948 125 5804
753 639 9501
835 412 448
394 71 1000
273 152 5108
383 558 8287
390 330 4462
953 985 6718
261 425 2345
516 863 3182
974 809 6657
131 913 7294
632 746 5057
80 139 7126
80 762 6628
188 143 8184
827 884 8865
641 835 848
360 446 8623
57 312 3485
591 285 5644
248 414 6555
895 44 2300
952 122 5789
430 552 1549
58 739 7042
243 916 1924
460 556 8109
660 266 1554
283 321 9216
120 262 6499
765 508 8263
320 401 1305
972 703 8777
113 131 5328
14 188 2417
57 781 4683
981 591 237
91 249 4853
997 882 4524
213 100 8784
713 116 643
328 786 1042
634 109 4096
763 220 4225
443 233 763
212 288 1894
896 619 2835
485 60 8082
339 55 5315
215 619 5314
1000 682 2780
643 8 1564
37 640 3023
133 754 242
711 547 3825
826 758 4463
73 4 4080
908 487 3491
991 176 1544
658 390 161
972 740 5841
104 381 6848
20 768 838
44 252 2942
286 961 8488
463 137 2596
926 208 3598
358 115 4435
849 456 9962
746 112 4702
259 434 7440
453 888 5171
301 906 5289
491 948 5539
786 584 2850
274 45 7986
870 321 9192
820 678 5657
255 877 5463
217 621 3925
271 879 2709
711 682 4595
234 333 7500
524 822 4446
415 958 2029
266 230 424
252 450 7744
796 620 772
806 874 6647
269 441 9619
195 711 9848
256 772 9528
852 357 1859
352 231 4031
150 644 8988
179 908 1568
956 510 4369
700 305 987
472 109 2211
471 728 8003
442 273 3064
290 528 1186
818 378 7541
29 80 122
61 228 1765
401 406 8023
969 360 532
690 410 1187
678 232 9294
241 53 9372
244 494 2644
308 782 4522
495 951 6898
388 330 9976
511 389 8202
628 140 9958
651 460 5668
183 148 9428
722 176 5658
16 416 62
741 658 9554
737 317 334
259 162 4635
509 548 7964
485 57 703
39 35 1842
350 685 9300
370 218 7446
151 939 3621
161 305 6387
223 44 1043
777 779 9710
464 388 870
99 895 8417
63 730 8824
119 768 3858
961 468 7893
261 188 5109
59 337 3046
32 497 3702
419 718 96
815 494 4874
525 308 5260
396 405 4506
165 819 6234
341 936 1352
551 895 9818
444 506 5
906 915 7692
304 946 2187
6 363 6256
103 528 6748
329 52 3054
941 798 9809
447 313 8626
682 4 2912
34 554 8157
205 348 3661
562 252 5927
254 555 5871
442 559 2584
50 12 7111
150 339 5513
556 279 8661
365 76 1324
344 756 2326
256 141 1878
766 344 4225
779 904 827
706 156 8380
577 948 3290
162 996 9300
625 144 3990
490 698 2619
151 414 9693
827 756 1448
153 362 5587
384 126 1929
961 904 3183
788 608 4337
169 536 6636
811 48 3630
111 671 1125
453 159 2173
72 660 6585
766 485 9339
566 988 6052
505 370 2176
434 329 430
969 468 4037
306 635 1571
294 796 5617
277 257 9638
402 709 9147
575 779 9157
161 895 992
852 459 6978
904 962 5347
433 746 3026
863 713 4492
900 370 4477
823 662 6271
792 289 1879
782 689 2586
281 615 7363
438 126 8609
430 976 5066
761 231 5027
460 662 6771
486 875 9835
331 126 2203
160 947 3215
784 90 6503
663 870 9542
249 502 8155
964 938 1631
573 719 2958
640 478 8187
19 936 2199
142 772 9072
329 453 9196
884 612 494
100 394 8582
955 55 5802
849 654 7654
357 616 591
988 540 4660
946 530 488
485 547 3422
36 39 5544
109 367 4996
657 249 2606
151 699 7350
85 4 8403
240 852 1055
894 207 9021
837 193 911
497 490 5439
985 325 336
759 360 8726
304 467 4091
652 122 7690
610 624 6388
960 59 9390
363 297 6240
770 542 7797
143 377 9341
55 225 3829
846 560 2152
535 318 6510
261 972 2327
352 974 8800
42 582 2774
782 540 2831
173 901 7479
765 21 8019
563 514 7746
256 919 4969
85 764 6528
589 297 2196
452 556 1166
131 258 1138
931 298 4718
57 431 5608
889 602 9507
720 717 2878
739 630 8390
837 884 3308
807 319 9422
687 259 7069
883 709 8623
401 838 879
891 120 1527
609 175 6956
217 414 2908
76 132 1976
306 221 1956
48 57 5839
708 214 6508
130 899 9765
199 132 8472
174 531 7661
405 420 6131
285 379 6656
593 946 2069
854 372 2551
830 28 6123
786 74 530
977 781 7094
486 261 5991
251 811 8473
76 983 3002
737 739 9772
868 22 3501
876 613 3445
945 817 8167
849 645 4193
324 782 2617
206 109 396
300 593 6008
291 195 3817
764 269 5150
118 356 887
242 574 5259
743 448 5223
540 744 38
707 591 1682
252 265 4814
869 469 8921
618 767 6865
626 408 2058
443 522 9325
593 990 2679
833 230 8251
92 971 2697
315 861 791
354 918 8732
388 168 8995
202 387 4814
475 3 579
340 979 1337
398 420 2857
75 364 845
106 195 1425
709 637 1746
407 951 1605
550 655 1873
283 41 4039
278 593 9777
93 66 3130
24 757 108
362 153 4526
571 579 4240
417 683 7433
194 391 2069
941 148 3370
898 696 5023
772 977 1414
163 606 1005
940 697 5421
71 7 5176
179 431 8680
57 100 5257
298 768 3938
83 960 5679
504 251 6825
226 148 872
249 918 3847
663 79 7451
20 18 6498
442 439 1568
618 968 349
298 23 9348
907 671 8466
198 753 2777
877 607 4026
55 832 172
927 431 3088
774 445 9518
578 463 2886
428 903 6323
996 872 6289
698 520 3662
398 426 6332
865 622 4435
642 849 6392
20 902 9222
545 827 7004
985 952 8447
503 880 908
389 306 6162
64 653 3032
353 349 2902
368 745 8326
52 960 2298
839 952 498
231 971 3398
806 514 4576
810 849 7878
257 351 7108
165 738 8764
679 153 4415
711 856 7114
614 222 6210
292 272 168
943 109 4471
441 691 440
191 495 7304
119 655 8151
349 910 8852
457 425 5941
574 103 2092
341 164 9946
456 128 9519
18 771 789
186 712 7249
657 503 5290
449 44 7783
105 514 788
609 213 3696
813 21 6471
754 593 8924
198 932 4087
145 738 7565
664 754 1334
805 291 396
406 298 8897
696 98 9292
831 201 6156
619 160 7367
667 324 6386
139 76 1977
63 273 4908
502 768 4996
68 782 5749
402 937 38
799 342 2334
48 388 9430
692 218 4982
848 187 3492
216 853 3814
954 342 8241
932 755 8864
192 256 5630
188 674 762
289 74 8697
327 223 9389
662 622 1776
444 312 9992
426 511 7529
271 77 5380
85 29 2720
326 311 8474
190 501 3080
172 40 7752
934 327 176
984 653 4398
373 665 8370
149 459 5032
493 236 541
23 505 8616
755 940 1996
828 265 6305
654 805 9157
734 328 9195
838 260 8520
14 594 3523
764 966 6538
134 465 3348
167 309 2582
60 330 437
29 435 4375
25 261 8990
330 913 3146
487 997 2472
34 833 4082
907 198 6675
430 960 9639
321 445 7454
669 962 3761
603 372 2441
40 399 8875
415 422 8486
758 103 3398
904 940 5745
376 325 6929
458 230 7125
133 10 3435
124 681 4230
579 348 8190
692 949 4913
134 339 310
9 753 9083
495 509 7536
245 411 4826
991 137 149
920 593 8377
397 725 5738
832 199 2417
415 776 8116
957 467 5415
870 951 4753
181 958 6856
616 803 715
152 399 9476
978 740 5611
128 10 3202
857 405 5277
595 587 1475
13 1000 5601
129 308 1418
544 176 1367
649 355 4323
505 969 1477
220 471 6226
696 448 7964
307 926 9972
862 781 5727
139 727 8664
966 738 3015
568 217 3321
986 111 4495
354 759 3201
29 262 8520
858 833 7990
84 527 2788
48 185 6712
372 45 4491
451 534 8216
468 499 304
483 65 8871
156 401 2981
3 753 90
204 133 702
77 989 5533
67 72 411
207 470 946
919 193 3989
762 994 3873
331 460 9370
635 293 8785
859 799 3537
192 801 2288
282 355 4771
336 430 9759
222 847 6181
985 52 2001
931 321 7192
272 82 6537
145 411 2347
868 396 7639
5 605 4788
542 795 5587
183 427 5941
954 114 721
65 334 1567
246 317 3969
248 246 8289
792 516 1721
329 11 6130
677 877 876
668 233 8480
456 773 4625
44 306 9403
337 259 3515
58 674 8847
977 919 8514
947 165 758
588 955 8624
309 283 9633
791 310 5861
19 976 6092
851 430 215
477 824 6872
232 159 4481
747 568 9153
594 543 7070
460 840 6585
218 426 8539
194 85 2172
179 874 9832
40 244 2806
484 93 8586
52 920 6409
924 150 4918
757 247 8484
910 191 1378
981 649 1216
566 217 8993
457 409 76
981 587 3301
813 977 5895
971 812 9986
558 214 9257
319 488 6757
237 243 6003
74 151 2192
452 482 3840
20 399 8055
13 206 9815
442 186 2400
95 349 727
990 319 4537
976 875 3101
585 192 587
343 779 7828
698 203 330
890 5 8810
82 24 2559
138 387 3764
305 179 7300
57 272 6647
784 260 964
674 587 8837
775 170 9379
363 863 7509
191 559 1710
521 448 6066
684 880 9088
243 368 8825
359 671 9003
659 726 5625
307 509 1884
271 533 469
461 306 6989
192 667 1851
53 209 7408
764 80 2206
830 762 85
270 356 5451
447 713 8121
802 371 6845
428 28 8704
664 297 8235
133 108 8540
122 651 6557
325 702 116
734 816 3195
292 644 7307
377 264 5013
181 62 77
302 862 3446
499 640 824
556 302 471
791 433 7578
683 906 579
593 229 4279
709 313 3094
256 604 3088
916 331 9703
281 510 1763
358 162 975
156 12 6614
980 566 6914
452 355 8698
382 389 8954
961 980 9533
240 39 7845
686 646 8799
775 560 6128
830 839 7989
593 548 6149
920 702 159
534 681 8723
801 131 6429
499 511 1816
805 822 4146
338 60 7183
535 97 6827
334 222 6737
815 50 1927
804 993 2473
305 911 4525
465 444 6204
540 595 685
321 444 5546
489 247 1366
635 583 8777
171 117 872
350 801 7092
440 614 7140
367 416 9131
192 72 392
717 535 1186
274 425 4779
959 97 6221
506 584 818
224 570 1752
100 91 3219
873 791 4018
317 229 2983
457 946 1749
940 136 2819
685 204 2704
871 476 128
651 785 4223
224 641 3157
395 864 4725
147 215 5166
366 439 4956
736 754 7183
719 562 6480
469 852 8966
288 535 9168
993 405 5994
473 406 3778
48 980 4417
557 373 9279
635 870 3493
801 586 4282
757 321 6034
293 390 8594
773 209 3797
91 496 9330
260 839 9085
606 662 1489
384 60 1820
802 615 8191
433 248 1412
278 48 1996
560 155 6667
947 446 2056
893 569 6263
690 11 2109
21 621 2298
458 225 6958
300 608 3016
120 760 9982
663 543 6228
75 820 9626
72 730 8780
739 675 3576
147 567 496
411 255 8505
872 626 3124
171 435 347
129 733 305
498 851 1063
480 512 957
60 938 775
687 360 7503
467 449 3529
43 595 1094
539 356 6699
396 226 9676
520 747 9109
220 227 9192
525 723 9041
941 553 5903
898 611 1191
25 296 549
880 113 6997
761 155 2590
855 44 6296
907 791 3872
935 309 7618
396 879 843
588 755 2916
981 694 7467
884 942 3428
76 317 7723
977 547 1834
974 307 9339
916 512 734
212 417 4523
437 702 182
55 96 8060
898 34 4813
814 13 7857
633 896 8149
61 322 2816
136 297 9361
323 622 7666
14 888 5177
748 451 4944
623 886 6645
158 939 2091
218 187 4124
383 351 4487
592 982 6381
93 393 53
909 528 9701
270 849 8673
289 213 9559
466 312 5008
762 933 5244
759 89 1533
851 657 4718
327 390 4067
814 980 3399
548 71 9791
953 330 3669
6 599 6868
679 886 5079
591 702 5389
951 462 8673
196 220 5112
729 421 9120
448 98 5508
867 262 4839
619 808 5260
410 112 9589
431 116 3538
299 794 4774
730 383 8474
120 332 2286
145 878 2856
257 606 8627
729 404 75
238 621 5336
429 238 3494
689 646 4604
278 75 4719
168 724 8863
942 453 6596
768 923 9278
407 66 2155
263 673 3111
243 401 513
318 989 1132
6 416 4721
501 103 8365
457 732 4791
528 898 865
391 839 5316
339 605 2589
618 10 5005
125 624 7677
588 217 2428
453 885 8415
585 890 6829
658 741 9282
24 196 9012
167 723 5909
384 464 4746
53 802 6701
642 770 4062
648 245 6036
677 831 7603
105 282 2486
520 217 8726
701 874 3465
983 248 7660
996 765 2381
257 147 2843
355 198 1995
56 191 2763
470 837 6358
858 512 3187
461 967 6467
948 485 3683
674 536 5907
140 517 5153
152 511 8916
885 766 8061
80 471 610
76 526 2799
191 346 9634
550 203 1496
737 662 4461
557 960 3296
592 633 4830
499 123 4697
652 625 5559
920 508 9675
333 586 8145
943 12 7669
742 202 1365
728 102 2566
576 837 5227
389 744 4537
685 334 168
867 831 4641
565 833 9264
124 751 2770
151 83 707
296 24 8717
317 117 5917
683 195 5017
249 770 9205
828 157 4947
366 193 8632
886 58 3461
880 973 3645
144 447 5394
267 597 5827
974 891 9202
691 207 8317
961 888 5510
330 487 8630
887 666 5786
187 382 2977
819 266 1385
632 144 5709
277 639 5154
24 904 2101
851 228 1991
53 269 1548
722 228 5786
585 909 7271
215 794 287
353 331 6667
682 148 2932
68 779 6426
129 406 63
283 428 9317
737 630 8543
80 33 2811
628 106 4389
414 689 8296
37 254 6441
677 606 3770
344 286 8917
276 704 8046
55 831 8450
118 465 8229
788 200 6857
331 278 9888
142 256 1992
532 20 5031
180 407 1284
621 82 9240
744 425 1876
661 51 6931
59 104 3760
861 573 6575
90 359 4773
947 40 9401
188 533 5655
532 415 5673
564 593 3079
200 565 8159
792 307 7582
668 318 6984
599 375 86
712 586 6009
287 675 7718
413 972 3757
814 510 3288
470 41 701
495 955 644
926 153 9559
86 295 4864
20 961 4532
4 911 257
443 621 6842
804 258 2515
523 669 6837
632 834 3346
920 654 385
973 147 5690
969 72 7841
529 508 1486
745 878 9445
278 881 7706
887 674 3677
729 476 286
596 349 5953
434 979 9137
132 249 2789
517 572 5287
207 540 9709
400 419 4215
886 514 9091
683 142 1322
742 28 7346
419 107 6821
57 702 168
11 486 7498
500 616 5745
290 483 8316
929 40 2206
638 790 6975
205 26 7487
648 59 4628
971 799 8654
669 569 9111
490 624 5811
11 985 4647
509 484 2613
606 124 94
922 403 5484
480 39 272
455 594 2296
943 240 7354
923 561 3151
929 229 6070
40 69 3693
204 430 1028
851 937 4510
817 894 5984
911 166 4385
748 645 5774
20 450 4366
317 743 1957
23 664 9868
526 943 9095
597 982 5515
642 184 2943
670 385 5231
533 200 8123
869 462 2639
255 208 8282
29 226 4731
748 893 5824
705 266 3487
925 791 5428
373 738 760
888 378 8942
183 398 3678
766 281 4876
241 149 5336
881 754 6894
163 133 7119
246 879 7362
71 934 8627
910 858 6768
690 229 1504
451 467 9232
745 648 980
775 413 1260
652 65 8759
340 531 1511
235 45 7994
706 641 6224
420 62 8156
399 970 6364
167 11 9943
671 460 760
903 555 1759
236 329 4522
848 331 3524
607 21 5054
470 606 6449
464 662 2440
688 81 2501
197 478 6469
913 644 8830
209 665 7640
969 919 8194
80 153 6873
602 999 2202
127 604 8573
533 424 178
982 238 6838
422 925 5917
923 472 8746
745 735 5740
927 942 8403
568 262 2320
114 340 4823
987 941 820
541 418 1774
114 949 9196
292 929 3785
483 701 9060
752 975 9530
498 70 615
238 995 9556
994 913 6168
666 25 5858
490 10 3149
310 901 1565
437 366 2512
985 656 8791
770 489 2843
830 240 816
712 736 8236
328 325 7581
236 317 6493
404 981 9516
262 469 9877
764 130 9776
329 565 4140
842 900 3147
633 669 3634
476 497 4224
644 560 959
232 886 8634
814 120 2949
659 874 5280
175 486 4100
404 248 6580
533 576 4495
25 768 3393
524 399 7060
159 226 908
383 220 4466
694 451 4702
328 615 1172
629 272 44
262 797 3528
362 552 1127
942 83 8053
789 106 6819
182 629 2568
595 138 8144
855 871 4363
673 916 2164
375 594 9129
547 222 1751
943 482 5898
823 194 1448
950 486 4529
3 273 1986
174 805 6965
743 398 9453
887 251 3674
602 274 588
766 647 5181
895 544 6753
998 485 585
897 659 777
345 607 261
227 961 9884
565 133 6687
530 226 436
335 112 2037
9 712 2310
598 829 2307
131 74 3202
236 71 5037
821 966 7694
950 309 8652
563 534 9611
447 97 94
486 977 6319
922 310 6429
960 670 7491
622 266 5318
929 747 5391
131 981 5812
169 152 9776
863 100 5083
867 661 8968
478 106 3415
925 942 1743
244 863 3403
25 821 2071
868 441 4687
187 720 6432
930 850 6763
742 369 9913
870 582 9363
305 448 9022
273 276 1478
41 199 3419
784 441 1632
539 816 5451
611 683 6242
298 220 6312
83 500 2512
846 592 9879
112 460 8812
827 115 1610
850 387 7884
680 778 4082
451 912 2873
83 449 7040
886 58 4073
480 355 9291
793 788 7141
305 984 731
537 446 2541
349 272 7654
959 472 1391
195 150 3519
277 600 9429
503 681 8877
895 918 285
968 396 1990
259 187 6776
752 491 7759
835 378 1203
728 725 6473
734 34 8943
126 227 6444
645 855 2394
427 708 8425
656 601 6341
941 567 8736
932 176 1921
60 926 4762
171 111 7138
375 837 4213
200 569 1245
496 45 8823
292 689 1028
686 466 734
111 120 7685
453 59 9602
189 341 5776
462 400 6052
225 921 1161
363 294 6348
577 845 2915
174 691 4959
349 981 5998
377 17 5462
463 126 4932
148 929 1989
750 468 7681
878 929 2431
282 152 350
795 865 8995
143 792 1190
411 317 5879
370 664 2210
720 392 6225
182 853 2701
114 1000 7981
455 100 4447
488 329 374
919 609 6876
622 403 1092
617 896 882
807 305 6549
38 25 4212
600 743 7602
177 275 3805
230 739 7803
211 193 8254
659 679 4581
385 949 5540
262 569 2293
354 536 7540
588 693 7843
138 729 867
702 327 8960
656 854 1234
461 82 8971
617 292 514
223 301 3544
156 684 491
696 944 4410
342 648 7944
882 587 8635
77 75 8714
944 775 391
257 429 6243
491 240 5323
462 855 1965
329 428 4264
873 582 8947
364 277 9241
774 969 6240
70 849 825
705 924 5898
771 219 2023
162 474 6802
757 315 4040
80 127 4246
398 454 5672
662 325 9253
609 39 6880
203 163 847
443 231 5046
268 286 7320
518 55 4889
541 567 6713
343 322 4026
383 753 8504
981 149 7956
654 809 8632
259 769 4669
491 970 6831
338 411 3060
736 29 4697
56 545 7750
